gene,chr,strand,tss,pileup,utr,transcript
ENSMUSG00000000532,15,+,101174131,272,14,ENSMUST00000000544
ENSMUSG00000000538,11,-,60352867,507,59,ENSMUST00000064019
ENSMUSG00000000552,15,-,103340090,91,34,ENSMUST00000168828
ENSMUSG00000000561,3,+,105959515,143,69,ENSMUST00000010278
ENSMUSG00000000563,3,-,105959249,1147,62,ENSMUST00000118209
ENSMUSG00000000567,11,+,112782232,432,353,ENSMUST00000000579
ENSMUSG00000000568,5,-,99978919,573,295,ENSMUST00000172361
ENSMUSG00000000579,17,+,6601788,81,22,ENSMUST00000092966
ENSMUSG00000000594,11,+,55098093,499,71,ENSMUST00000000608
ENSMUSG00000000627,6,-,82939722,51,99,ENSMUST00000000641
ENSMUSG00000000628,6,-,82774425,12,445,ENSMUST00000000642
ENSMUSG00000000682,4,-,134095037,28,53,ENSMUST00000000696
ENSMUSG00000000731,10,-,78043552,3,29,ENSMUST00000145975
ENSMUSG00000000732,10,+,78069363,98,162,ENSMUST00000105393
ENSMUSG00000000738,8,+,123065523,308,4,ENSMUST00000149248
ENSMUSG00000000740,8,+,123102420,867,239,ENSMUST00000000756
ENSMUSG00000000743,8,-,123212738,134,66,ENSMUST00000000759
ENSMUSG00000000751,11,-,75348306,156,48,ENSMUST00000000767
ENSMUSG00000000759,8,-,12672099,122,69,ENSMUST00000164774
ENSMUSG00000000766,10,+,6788611,27,264,ENSMUST00000152674
ENSMUSG00000000776,14,-,70443445,68,330,ENSMUST00000180358
ENSMUSG00000000787,X,+,13281032,230,81,ENSMUST00000000804
ENSMUSG00000000794,3,+,89520177,63,292,ENSMUST00000000811
ENSMUSG00000000804,11,-,85139939,95,171,ENSMUST00000108075
ENSMUSG00000000805,11,+,84957811,204,76,ENSMUST00000103194
ENSMUSG00000000811,6,+,89644006,10,238,ENSMUST00000000828
ENSMUSG00000000827,2,+,181497209,378,105,ENSMUST00000108800
ENSMUSG00000000838,X,+,68678585,74,232,ENSMUST00000088546
ENSMUSG00000000861,11,+,24078058,360,333,ENSMUST00000109514
ENSMUSG00000000876,2,-,154603662,93,33,ENSMUST00000000896
ENSMUSG00000000881,X,+,100767745,343,327,ENSMUST00000087984
ENSMUSG00000000884,16,+,18498420,38,348,ENSMUST00000124924
ENSMUSG00000000901,10,-,75932454,10,1,ENSMUST00000000924
ENSMUSG00000000902,10,-,75921573,311,178,ENSMUST00000000925
ENSMUSG00000000915,5,+,123973666,44,97,ENSMUST00000000939
ENSMUSG00000000916,5,+,135369976,33,8,ENSMUST00000000940
ENSMUSG00000000948,7,-,60005108,2171,44,ENSMUST00000191491
ENSMUSG00000000957,14,+,54431648,47,218,ENSMUST00000197874
ENSMUSG00000000959,14,+,54360847,324,8,ENSMUST00000000985
ENSMUSG00000000976,11,+,83753719,46,4,ENSMUST00000001002
ENSMUSG00000000982,11,-,83649329,6,52,ENSMUST00000001008
ENSMUSG00000001016,3,+,90476184,437,57,ENSMUST00000001042
ENSMUSG00000001018,3,-,90490980,321,6,ENSMUST00000185005
ENSMUSG00000001029,11,-,106382573,34,89,ENSMUST00000001055
ENSMUSG00000001034,11,-,61494196,41,318,ENSMUST00000079080
ENSMUSG00000001039,11,+,61505205,95,4,ENSMUST00000102657
ENSMUSG00000001052,3,-,130060677,94,9,ENSMUST00000001079
ENSMUSG00000001056,11,+,51619791,126,27,ENSMUST00000127405
ENSMUSG00000001062,8,-,123254090,113,4,ENSMUST00000122363
ENSMUSG00000001065,8,+,123254270,20,446,ENSMUST00000154450
ENSMUSG00000001082,5,-,34637141,51,374,ENSMUST00000149657
ENSMUSG00000001098,5,-,114380464,72,36,ENSMUST00000102581
ENSMUSG00000001100,11,+,78512286,193,26,ENSMUST00000001127
ENSMUSG00000001103,11,+,78503517,8,33,ENSMUST00000001130
ENSMUSG00000001119,10,-,76726006,168,93,ENSMUST00000001147
ENSMUSG00000001120,10,-,76961891,222,4,ENSMUST00000173854
ENSMUSG00000001123,11,-,78984868,89,52,ENSMUST00000073001
ENSMUSG00000001138,1,+,36511897,92,14,ENSMUST00000001166
ENSMUSG00000001143,1,-,36445248,102,15,ENSMUST00000115011
ENSMUSG00000001150,10,+,76468925,102,2,ENSMUST00000220410
ENSMUSG00000001151,10,-,76442761,30,143,ENSMUST00000001179
ENSMUSG00000001156,6,-,86669136,53,128,ENSMUST00000001184
ENSMUSG00000001157,6,-,86733295,26,131,ENSMUST00000001185
ENSMUSG00000001158,6,-,86684501,93,21,ENSMUST00000001186
ENSMUSG00000001173,X,+,47912476,236,177,ENSMUST00000115020
ENSMUSG00000001175,12,+,100199531,7993,183,ENSMUST00000110082
ENSMUSG00000001247,7,-,30973355,47,182,ENSMUST00000108116
ENSMUSG00000001248,7,-,31151007,96,104,ENSMUST00000085636
ENSMUSG00000001260,5,-,70842348,120,129,ENSMUST00000031119
ENSMUSG00000001270,12,-,111672278,4553,320,ENSMUST00000001304
ENSMUSG00000001280,15,+,102406321,29,95,ENSMUST00000163709
ENSMUSG00000001281,15,-,102224715,9,311,ENSMUST00000230652
ENSMUSG00000001285,15,+,102331735,106,6,ENSMUST00000113682
ENSMUSG00000001288,15,-,102246459,19,249,ENSMUST00000063339
ENSMUSG00000001289,15,+,102326179,995,10,ENSMUST00000166658
ENSMUSG00000001313,11,+,101468231,79,107,ENSMUST00000001347
ENSMUSG00000001333,4,+,129287661,7,78,ENSMUST00000102599
ENSMUSG00000001334,4,+,129136902,71,177,ENSMUST00000102600
ENSMUSG00000001349,9,+,22099300,15,56,ENSMUST00000214601
ENSMUSG00000001366,9,-,78108597,253,304,ENSMUST00000159099
ENSMUSG00000001376,6,+,3498433,572,90,ENSMUST00000001412
ENSMUSG00000001380,18,-,36783101,290,1,ENSMUST00000001416
ENSMUSG00000001383,18,+,36793939,1352,3,ENSMUST00000001419
ENSMUSG00000001415,3,+,88336299,203,125,ENSMUST00000001451
ENSMUSG00000001416,3,+,88297155,229,81,ENSMUST00000001452
ENSMUSG00000001418,3,+,88325070,497,12,ENSMUST00000176519
ENSMUSG00000001424,6,+,28480409,301,156,ENSMUST00000001460
ENSMUSG00000001435,10,-,77166493,22,44,ENSMUST00000081654
ENSMUSG00000001440,11,-,97187886,449,5,ENSMUST00000132633
ENSMUSG00000001441,11,-,97280568,118,110,ENSMUST00000172108
ENSMUSG00000001445,11,+,97041598,514,3,ENSMUST00000054252
ENSMUSG00000001467,5,-,4104402,78,95,ENSMUST00000001507
ENSMUSG00000001472,8,+,123373840,2437,33,ENSMUST00000212571
ENSMUSG00000001506,11,+,94936256,22,113,ENSMUST00000001547
ENSMUSG00000001507,11,-,95076661,11,325,ENSMUST00000120375
ENSMUSG00000001518,6,-,128424903,71,90,ENSMUST00000203853
ENSMUSG00000001520,6,+,128399820,57,293,ENSMUST00000001561
ENSMUSG00000001521,6,-,128355827,67,49,ENSMUST00000001562
ENSMUSG00000001525,17,-,35838221,3415,168,ENSMUST00000001566
ENSMUSG00000001542,13,+,75707539,149,112,ENSMUST00000001583
ENSMUSG00000001555,11,+,100415761,13,23,ENSMUST00000107400
ENSMUSG00000001576,17,+,26561547,241,66,ENSMUST00000167662
ENSMUSG00000001627,12,-,40223166,259,210,ENSMUST00000171530
ENSMUSG00000001642,6,-,34317438,48,33,ENSMUST00000154655
ENSMUSG00000001657,15,+,102990611,12,169,ENSMUST00000001703
ENSMUSG00000001663,10,-,75798519,21,23,ENSMUST00000001713
ENSMUSG00000001665,10,-,75781059,22,101,ENSMUST00000174187
ENSMUSG00000001666,10,-,75773368,90,45,ENSMUST00000001716
ENSMUSG00000001674,1,-,121567906,128,31,ENSMUST00000001724
ENSMUSG00000001687,5,-,148552464,170,485,ENSMUST00000079324
ENSMUSG00000001700,18,+,56432157,79,118,ENSMUST00000070166
ENSMUSG00000001707,13,-,38658996,176,3,ENSMUST00000001757
ENSMUSG00000001751,11,+,101070117,41,8,ENSMUST00000001802
ENSMUSG00000001755,11,+,101082679,87,331,ENSMUST00000001806
ENSMUSG00000001763,6,+,29694241,90,202,ENSMUST00000046750
ENSMUSG00000001767,2,-,145934695,115,91,ENSMUST00000001818
ENSMUSG00000001773,7,-,86775794,22,35,ENSMUST00000107271
ENSMUSG00000001774,9,+,18292316,486,81,ENSMUST00000213605
ENSMUSG00000001783,10,-,85957780,257,73,ENSMUST00000001834
ENSMUSG00000001785,10,+,85871866,92,77,ENSMUST00000219256
ENSMUSG00000001786,10,+,86021942,47,30,ENSMUST00000134490
ENSMUSG00000001802,7,-,35215276,56,348,ENSMUST00000118444
ENSMUSG00000001829,7,+,101663774,168,37,ENSMUST00000209579
ENSMUSG00000001847,5,-,143527982,1744,185,ENSMUST00000080537
ENSMUSG00000001855,2,+,31974468,109,96,ENSMUST00000065398
ENSMUSG00000001864,2,+,31950291,59,60,ENSMUST00000148056
ENSMUSG00000001870,17,+,75178846,28,136,ENSMUST00000135447
ENSMUSG00000001891,11,-,21370457,189,252,ENSMUST00000102875
ENSMUSG00000001909,8,+,84689302,194,13,ENSMUST00000177423
ENSMUSG00000001911,8,-,84800347,259,3,ENSMUST00000132236
ENSMUSG00000001930,6,+,125552973,62,218,ENSMUST00000112253
ENSMUSG00000001943,9,+,37538915,3,340,ENSMUST00000213502
ENSMUSG00000001946,9,+,37528137,65,84,ENSMUST00000002011
ENSMUSG00000001962,X,+,74313080,75,135,ENSMUST00000114160
ENSMUSG00000001964,X,+,74254844,373,108,ENSMUST00000088313
ENSMUSG00000001983,11,+,106066094,69,154,ENSMUST00000002048
ENSMUSG00000001998,2,+,127008749,57,5,ENSMUST00000110394
ENSMUSG00000002010,X,-,73786857,845,2,ENSMUST00000052761
ENSMUSG00000002014,X,+,73787184,150,56,ENSMUST00000002090
ENSMUSG00000002017,17,-,75551842,157,49,ENSMUST00000112507
ENSMUSG00000002028,9,-,44881282,298,8,ENSMUST00000128768
ENSMUSG00000002032,9,-,44799215,92,482,ENSMUST00000114705
ENSMUSG00000002058,11,+,78343517,121,50,ENSMUST00000002127
ENSMUSG00000002059,11,+,78188784,29,138,ENSMUST00000207728
ENSMUSG00000002102,2,+,91054108,323,140,ENSMUST00000111441
ENSMUSG00000002103,2,+,91202930,469,5,ENSMUST00000155418
ENSMUSG00000002107,2,-,6884927,306,23,ENSMUST00000182851
ENSMUSG00000002109,2,-,91236963,10,147,ENSMUST00000028696
ENSMUSG00000002129,11,+,4160399,302,89,ENSMUST00000002198
ENSMUSG00000002221,5,-,27791380,66,101,ENSMUST00000002291
ENSMUSG00000002222,6,-,71440493,108,354,ENSMUST00000002292
ENSMUSG00000002249,17,-,28350764,16,169,ENSMUST00000114799
ENSMUSG00000002280,17,+,25773814,163,8,ENSMUST00000002350
ENSMUSG00000002289,17,-,33781540,9,148,ENSMUST00000002360
ENSMUSG00000002297,5,-,8422777,4,61,ENSMUST00000163141
ENSMUSG00000002308,17,+,33843123,115,48,ENSMUST00000002379
ENSMUSG00000002319,14,-,55635629,256,31,ENSMUST00000148351
ENSMUSG00000002320,14,-,55643332,131,394,ENSMUST00000122358
ENSMUSG00000002324,14,+,55618198,11,405,ENSMUST00000002395
ENSMUSG00000002325,14,+,55604225,9,444,ENSMUST00000138037
ENSMUSG00000002326,14,+,55672296,115,419,ENSMUST00000002397
ENSMUSG00000002329,14,-,55660419,134,45,ENSMUST00000002400
ENSMUSG00000002342,8,+,70172426,81,12,ENSMUST00000182715
ENSMUSG00000002345,8,+,70139722,193,14,ENSMUST00000123760
ENSMUSG00000002372,17,+,56673388,253,2,ENSMUST00000002445
ENSMUSG00000002379,17,+,56717812,525,28,ENSMUST00000002452
ENSMUSG00000002395,8,+,71367234,208,1,ENSMUST00000019169
ENSMUSG00000002396,8,+,71371341,38,334,ENSMUST00000110052
ENSMUSG00000002413,6,-,39725297,164,2,ENSMUST00000002487
ENSMUSG00000002416,6,+,39592614,650,1,ENSMUST00000135671
ENSMUSG00000002428,3,+,20057849,75,139,ENSMUST00000002502
ENSMUSG00000002455,2,+,181601388,332,73,ENSMUST00000002529
ENSMUSG00000002475,18,-,10706705,301,14,ENSMUST00000002549
ENSMUSG00000002477,18,+,10617821,351,92,ENSMUST00000002551
ENSMUSG00000002504,17,-,24650276,95,126,ENSMUST00000002572
ENSMUSG00000002524,15,-,76080880,387,7,ENSMUST00000100527
ENSMUSG00000002550,2,-,32260066,76,32,ENSMUST00000002625
ENSMUSG00000002580,11,-,98438963,191,17,ENSMUST00000002655
ENSMUSG00000002588,6,-,5193798,6,49,ENSMUST00000002663
ENSMUSG00000002602,7,-,25788660,68,182,ENSMUST00000085948
ENSMUSG00000002608,7,-,25719023,217,57,ENSMUST00000002683
ENSMUSG00000002625,17,-,32350539,640,40,ENSMUST00000050214
ENSMUSG00000002633,5,-,28466809,11,46,ENSMUST00000002708
ENSMUSG00000002635,7,-,34196646,108,3,ENSMUST00000002710
ENSMUSG00000002658,17,-,57011290,267,170,ENSMUST00000002733
ENSMUSG00000002661,17,+,56997359,102,5,ENSMUST00000002737
ENSMUSG00000002679,12,-,81594970,119,9,ENSMUST00000161598
ENSMUSG00000002688,12,-,50649195,30,222,ENSMUST00000002765
ENSMUSG00000002728,2,+,145903287,163,23,ENSMUST00000149461
ENSMUSG00000002731,2,-,76647996,42,140,ENSMUST00000002808
ENSMUSG00000002732,2,-,76673070,29,56,ENSMUST00000002809
ENSMUSG00000002733,2,+,76675315,107,280,ENSMUST00000111920
ENSMUSG00000002741,11,+,5955812,134,89,ENSMUST00000002818
ENSMUSG00000002748,5,+,135187272,182,378,ENSMUST00000002825
ENSMUSG00000002763,17,+,46711493,166,7,ENSMUST00000002840
ENSMUSG00000002767,17,+,46646261,140,42,ENSMUST00000002844
ENSMUSG00000002778,7,+,45872840,639,171,ENSMUST00000211716
ENSMUSG00000002781,7,+,45897083,65,344,ENSMUST00000209350
ENSMUSG00000002797,6,-,54992863,129,28,ENSMUST00000203208
ENSMUSG00000002799,12,-,112929795,30,19,ENSMUST00000220855
ENSMUSG00000002803,12,+,112976543,102,63,ENSMUST00000002880
ENSMUSG00000002804,12,-,112942112,44,41,ENSMUST00000002881
ENSMUSG00000002808,13,-,19619777,474,215,ENSMUST00000002885
ENSMUSG00000002812,11,-,60727195,194,6,ENSMUST00000002889
ENSMUSG00000002814,11,-,60777245,22,144,ENSMUST00000102668
ENSMUSG00000002820,9,+,21265317,85,166,ENSMUST00000065005
ENSMUSG00000002825,9,+,21411851,25,4,ENSMUST00000002902
ENSMUSG00000002831,17,-,56109781,18,193,ENSMUST00000002908
ENSMUSG00000002833,17,+,56079685,212,70,ENSMUST00000002911
ENSMUSG00000002846,16,-,38522615,118,81,ENSMUST00000002925
ENSMUSG00000002870,6,-,88898670,7,20,ENSMUST00000058011
ENSMUSG00000002885,8,-,83741164,95,27,ENSMUST00000166939
ENSMUSG00000002897,6,+,120463236,30,11,ENSMUST00000204078
ENSMUSG00000002900,12,+,31265317,68,104,ENSMUST00000002979
ENSMUSG00000002910,8,-,70839516,39,115,ENSMUST00000002989
ENSMUSG00000002948,8,+,4238858,299,52,ENSMUST00000110998
ENSMUSG00000002957,7,+,141562243,552,117,ENSMUST00000003038
ENSMUSG00000002963,7,+,44857343,35,61,ENSMUST00000003044
ENSMUSG00000002968,7,-,44892391,267,27,ENSMUST00000208253
ENSMUSG00000002980,7,-,19770490,79,20,ENSMUST00000003061
ENSMUSG00000002983,7,-,19629417,10,175,ENSMUST00000094762
ENSMUSG00000002984,7,-,19715409,174,155,ENSMUST00000093552
ENSMUSG00000002992,7,-,19673946,2,345,ENSMUST00000142352
ENSMUSG00000002996,12,-,31950213,103,3,ENSMUST00000176103
ENSMUSG00000002997,12,-,32061244,78,162,ENSMUST00000036497
ENSMUSG00000003031,6,+,134920440,193,480,ENSMUST00000003115
ENSMUSG00000003033,8,+,72240118,108,84,ENSMUST00000212841
ENSMUSG00000003039,8,+,72219772,397,15,ENSMUST00000003123
ENSMUSG00000003070,10,+,80179735,98,28,ENSMUST00000003154
ENSMUSG00000003072,10,+,80142390,1300,76,ENSMUST00000105366
ENSMUSG00000003099,7,-,17027879,184,66,ENSMUST00000003183
ENSMUSG00000003119,11,+,98202795,80,264,ENSMUST00000147441
ENSMUSG00000003134,1,-,39478711,11,145,ENSMUST00000192531
ENSMUSG00000003135,1,+,39535798,66,41,ENSMUST00000003219
ENSMUSG00000003153,6,-,122742495,169,105,ENSMUST00000168801
ENSMUSG00000003161,5,+,8056579,383,10,ENSMUST00000148633
ENSMUSG00000003166,16,-,17891645,263,181,ENSMUST00000012152
ENSMUSG00000003198,17,+,55892133,31,51,ENSMUST00000054780
ENSMUSG00000003199,17,+,56009233,145,17,ENSMUST00000159996
ENSMUSG00000003200,17,-,56036557,82,98,ENSMUST00000003268
ENSMUSG00000003208,17,+,55959177,36,61,ENSMUST00000086869
ENSMUSG00000003226,10,+,58446922,298,58,ENSMUST00000003310
ENSMUSG00000003233,16,+,20517115,64,80,ENSMUST00000003318
ENSMUSG00000003234,16,+,20548669,326,4,ENSMUST00000003319
ENSMUSG00000003235,16,+,20498911,237,3,ENSMUST00000003320
ENSMUSG00000003269,7,-,45814251,112,135,ENSMUST00000107729
ENSMUSG00000003282,4,-,3938379,15,25,ENSMUST00000151543
ENSMUSG00000003283,2,+,153108520,12,173,ENSMUST00000003370
ENSMUSG00000003299,9,+,21002920,262,21,ENSMUST00000003386
ENSMUSG00000003309,9,-,21312279,11,31,ENSMUST00000213250
ENSMUSG00000003345,10,+,80622727,308,111,ENSMUST00000220025
ENSMUSG00000003352,15,+,98635071,218,98,ENSMUST00000003442
ENSMUSG00000003354,15,+,98708216,37,180,ENSMUST00000229471
ENSMUSG00000003355,15,-,98728129,4,44,ENSMUST00000003445
ENSMUSG00000003378,7,-,25072699,367,353,ENSMUST00000206132
ENSMUSG00000003380,7,-,24972660,204,78,ENSMUST00000076961
ENSMUSG00000003402,9,+,22003028,377,431,ENSMUST00000216344
ENSMUSG00000003410,9,-,22052008,260,410,ENSMUST00000215901
ENSMUSG00000003429,7,-,45124323,680,12,ENSMUST00000211725
ENSMUSG00000003435,7,-,28338738,495,312,ENSMUST00000209141
ENSMUSG00000003436,7,-,28301773,12,27,ENSMUST00000108315
ENSMUSG00000003437,7,+,28392987,255,221,ENSMUST00000003529
ENSMUSG00000003444,7,-,28392666,70,3,ENSMUST00000003536
ENSMUSG00000003452,6,+,149409089,135,340,ENSMUST00000111513
ENSMUSG00000003458,1,-,172082687,275,5,ENSMUST00000003550
ENSMUSG00000003464,1,+,172126777,478,2,ENSMUST00000075895
ENSMUSG00000003477,6,-,55175002,5,19,ENSMUST00000003569
ENSMUSG00000003500,6,-,29212242,60,76,ENSMUST00000078155
ENSMUSG00000003518,11,-,101984756,420,20,ENSMUST00000107172
ENSMUSG00000003527,16,-,17911306,64,1,ENSMUST00000003621
ENSMUSG00000003528,16,-,17928184,84,105,ENSMUST00000003622
ENSMUSG00000003531,16,+,18066446,60,44,ENSMUST00000155387
ENSMUSG00000003541,17,+,35821705,105,14,ENSMUST00000003635
ENSMUSG00000003549,7,+,19345121,177,492,ENSMUST00000161378
ENSMUSG00000003575,8,-,70439561,353,3,ENSMUST00000076615
ENSMUSG00000003581,11,+,4135193,56,9,ENSMUST00000124670
ENSMUSG00000003585,11,-,4118728,164,50,ENSMUST00000003681
ENSMUSG00000003604,2,+,112492970,27,21,ENSMUST00000003705
ENSMUSG00000003617,3,+,19957258,22,26,ENSMUST00000091309
ENSMUSG00000003644,4,-,133887770,18,138,ENSMUST00000003741
ENSMUSG00000003657,8,-,110168195,228,58,ENSMUST00000212297
ENSMUSG00000003660,2,+,127208405,612,89,ENSMUST00000103220
ENSMUSG00000003662,2,-,127247716,120,96,ENSMUST00000172636
ENSMUSG00000003680,19,-,8774435,130,5,ENSMUST00000010249
ENSMUSG00000003731,4,-,129672719,212,39,ENSMUST00000102590
ENSMUSG00000003752,7,-,27228591,13,104,ENSMUST00000003850
ENSMUSG00000003762,7,+,27233050,38,418,ENSMUST00000003860
ENSMUSG00000003778,18,-,34624562,220,6,ENSMUST00000003876
ENSMUSG00000003808,8,+,84857032,89,3,ENSMUST00000109754
ENSMUSG00000003809,8,-,84893758,73,77,ENSMUST00000142748
ENSMUSG00000003810,4,-,116464195,43,12,ENSMUST00000156884
ENSMUSG00000003812,8,+,84908769,12,7,ENSMUST00000134569
ENSMUSG00000003813,8,-,84840633,295,68,ENSMUST00000128035
ENSMUSG00000003814,8,-,84846853,1941,55,ENSMUST00000003912
ENSMUSG00000003824,8,+,84872230,9,9,ENSMUST00000003922
ENSMUSG00000003847,8,+,107293511,163,315,ENSMUST00000125721
ENSMUSG00000003849,8,-,107403184,55,112,ENSMUST00000003947
ENSMUSG00000003865,7,+,45434883,52,170,ENSMUST00000211150
ENSMUSG00000003868,7,-,45434265,71,2,ENSMUST00000211666
ENSMUSG00000003872,7,-,45370565,128,7,ENSMUST00000003971
ENSMUSG00000003873,7,-,45466805,129,30,ENSMUST00000211195
ENSMUSG00000003882,15,-,9529821,4,79,ENSMUST00000003981
ENSMUSG00000003923,10,-,71238040,141,100,ENSMUST00000092430
ENSMUSG00000003929,17,-,33358856,80,120,ENSMUST00000054072
ENSMUSG00000003934,11,-,69560174,387,361,ENSMUST00000004036
ENSMUSG00000003948,11,+,90249526,540,184,ENSMUST00000107887
ENSMUSG00000003949,11,-,90390897,542,2,ENSMUST00000043658
ENSMUSG00000003955,16,-,36071555,130,52,ENSMUST00000004057
ENSMUSG00000003970,15,+,76904091,1208,222,ENSMUST00000004072
ENSMUSG00000003992,13,+,91461183,474,4,ENSMUST00000042122
ENSMUSG00000004032,3,+,107895928,729,26,ENSMUST00000170058
ENSMUSG00000004035,3,-,107931665,105,11,ENSMUST00000004137
ENSMUSG00000004044,11,-,100970597,57,131,ENSMUST00000060792
ENSMUSG00000004054,19,+,5689788,14,459,ENSMUST00000004156
ENSMUSG00000004069,16,+,4684130,237,4,ENSMUST00000115854
ENSMUSG00000004098,9,-,20815110,5,43,ENSMUST00000145974
ENSMUSG00000004099,9,-,20952852,62,65,ENSMUST00000004202
ENSMUSG00000004100,9,+,20888282,69,18,ENSMUST00000004203
ENSMUSG00000004113,2,-,24763154,156,2,ENSMUST00000155356
ENSMUSG00000004187,15,+,76660602,362,65,ENSMUST00000230964
ENSMUSG00000004207,10,+,60277719,4991,24,ENSMUST00000105465
ENSMUSG00000004233,3,+,99141097,100,2,ENSMUST00000135960
ENSMUSG00000004263,6,-,124756733,106,209,ENSMUST00000133577
ENSMUSG00000004264,6,+,124712322,303,14,ENSMUST00000150847
ENSMUSG00000004266,6,-,124733053,7,100,ENSMUST00000173647
ENSMUSG00000004270,6,+,124663161,36,48,ENSMUST00000004381
ENSMUSG00000004285,6,+,29467804,225,13,ENSMUST00000004396
ENSMUSG00000004319,8,-,60954742,244,121,ENSMUST00000056508
ENSMUSG00000004328,7,-,17062390,12,9,ENSMUST00000153833
ENSMUSG00000004344,13,-,21293028,2,368,ENSMUST00000110491
ENSMUSG00000004356,10,-,88826800,65,150,ENSMUST00000004470
ENSMUSG00000004364,1,-,80340618,210,138,ENSMUST00000170897
ENSMUSG00000004366,16,-,23890827,5414,83,ENSMUST00000004480
ENSMUSG00000004393,11,-,6267723,126,4,ENSMUST00000151446
ENSMUSG00000004394,11,-,6274838,521,5,ENSMUST00000004508
ENSMUSG00000004455,5,+,122158344,435,217,ENSMUST00000128309
ENSMUSG00000004460,16,+,22857885,233,157,ENSMUST00000166487
ENSMUSG00000004500,7,+,12965873,44,343,ENSMUST00000128293
ENSMUSG00000004508,7,+,97081749,41,77,ENSMUST00000004622
ENSMUSG00000004561,14,+,51884941,142,5,ENSMUST00000047899
ENSMUSG00000004562,14,+,51984899,32,90,ENSMUST00000182909
ENSMUSG00000004565,8,+,3516881,38,73,ENSMUST00000207941
ENSMUSG00000004567,8,+,3500507,125,90,ENSMUST00000160338
ENSMUSG00000004591,3,-,142881974,87,316,ENSMUST00000174422
ENSMUSG00000004610,7,+,43444136,253,12,ENSMUST00000206196
ENSMUSG00000004612,7,+,43437185,8,119,ENSMUST00000070518
ENSMUSG00000004626,8,+,3631163,168,5,ENSMUST00000160708
ENSMUSG00000004631,6,-,4747095,32,7,ENSMUST00000115579
ENSMUSG00000004633,6,+,54272840,136,68,ENSMUST00000203941
ENSMUSG00000004642,5,-,33652313,126,60,ENSMUST00000075670
ENSMUSG00000004655,6,+,55336450,27,41,ENSMUST00000004774
ENSMUSG00000004665,10,+,79988658,26,20,ENSMUST00000105374
ENSMUSG00000004667,10,-,80039661,169,22,ENSMUST00000004786
ENSMUSG00000004730,17,+,57358714,34,12,ENSMUST00000086763
ENSMUSG00000004748,11,-,4095403,178,121,ENSMUST00000004868
ENSMUSG00000004771,9,-,64737720,314,97,ENSMUST00000172298
ENSMUSG00000004788,12,+,85219521,96,41,ENSMUST00000140900
