status,gene_symbol,gene_name,chromosome,genetic_category,gene_score,syndromic,number_of_reports,Gene.name.1,Gene.stable.ID,cds_length,ensembl_gene_id
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000273943
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000274176
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000275979
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000088038
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000277600
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000274616
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000277114
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000277615
9,CTCF,CCCTC-binding factor,16,"Rare Single Gene Mutation, Syndromic, Functional",3,0,12,Ctcf,ENSMUSG00000005698,2211,ENSG00000102974
9,CTNNB1,catenin beta 1,3,"Rare Single Gene Mutation, Syndromic",3,0,20,Ctnnb1,ENSMUSG00000006932,2346,ENSG00000168036
9,CTTNBP2,cortactin binding protein 2,7,"Rare Single Gene Mutation, Syndromic",3,0,6,Cttnbp2,ENSMUSG00000000416,481,ENSG00000077063
9,CUX2,cut like homeobox 2,12,"Rare Single Gene Mutation, Syndromic",4,1,7,Cux2,ENSMUSG00000042589,4281,ENSG00000111249
9,CXCR3,chemokine (C-X-C motif) receptor 3,X,Rare Single Gene Mutation,5,0,8,Cxcr3,ENSMUSG00000050232,1104,ENSG00000186810
9,CYP27A1,cytochrome P450 family 27 subfamily A member 1,2,Syndromic,NA,1,2,Cyp27a1,ENSMUSG00000026170,1602,ENSG00000135929
9,DIAPH3,Diaphanous-related formin 3,13,"Rare Single Gene Mutation, Genetic Association",5,0,11,Diaph3,ENSMUSG00000022021,3516,ENSG00000139734
9,DISC1,disrupted in schizophrenia 1,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,34,Disc1,ENSMUSG00000043051,1164,ENSG00000162946
9,ADNP,Activity-dependent neuroprotector homeobox,20,"Rare Single Gene Mutation, Syndromic",1,1,25,Adnp,ENSMUSG00000051149,3327,ENSG00000101126
9,ADORA2A,adenosine A2a receptor,22,Syndromic,4,0,7,Adora2a,ENSMUSG00000020178,1233,ENSG00000128271
9,ALDH5A1,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )",6,"Rare Single Gene Mutation, Syndromic",NA,1,9,Aldh5a1,ENSMUSG00000035936,1572,ENSG00000112294
9,ALG6,"ALG6, alpha-1,3-glucosyltransferase",1,Syndromic,NA,1,1,Alg6,ENSMUSG00000073792,1524,ENSG00000088035
9,ARHGEF9,Cdc42 guanine nucleotide exchange factor (GEF) 9,X,"Rare Single Gene Mutation, Syndromic",4,1,7,Arhgef9,ENSMUSG00000025656,1488,ENSG00000131089
9,ARID1B,AT-rich interaction domain 1B,6,"Rare Single Gene Mutation, Syndromic",1,1,35,Arid1b,ENSMUSG00000069729,6732,ENSG00000049618
9,DLG4,discs large MAGUK scaffold protein 4,17,"Rare Single Gene Mutation, Syndromic, Functional",5,0,9,Dlg4,ENSMUSG00000020886,728,ENSG00000132535
9,DMPK,dystrophia myotonica-protein kinase,19,"Rare Single Gene Mutation, Syndromic",NA,1,7,NA,NA,NA,ENSG00000104936
9,DUSP22,dual specificity phosphatase 22,6,Rare Single Gene Mutation,6,0,1,Dusp22,ENSMUSG00000069255,555,ENSG00000112679
9,EEF1A2,Eukaryotic translation elongation factor 1 alpha 2,20,"Rare Single Gene Mutation, Syndromic",NA,1,7,Eef1a2,ENSMUSG00000016349,1392,ENSG00000101210
9,AVPR1A,arginine vasopressin receptor 1A,12,"Rare Single Gene Mutation, Genetic Association",3,0,21,Avpr1a,ENSMUSG00000020123,1272,ENSG00000166148
9,CNTN4,contactin 4,3,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,20,Cntn4,ENSMUSG00000064293,3081,ENSG00000144619
9,CNTN5,Contactin 5,11,"Rare Single Gene Mutation, Genetic Association",3,0,9,Cntn5,ENSMUSG00000039488,3297,ENSG00000149972
9,CNTN6,Contactin 6,3,"Rare Single Gene Mutation, Genetic Association",3,0,11,Cntn6,ENSMUSG00000030092,3087,ENSG00000134115
9,CSMD1,CUB and Sushi multiple domains 1,8,"Rare Single Gene Mutation, Genetic Association",4,0,11,Csmd1,ENSMUSG00000060924,10695,ENSG00000183117
9,CYP11B1,"cytochrome P450, family 11, subfamily B, polypeptide 1",8,Syndromic,4,0,4,NA,NA,NA,ENSG00000160882
9,DHX30,DExH-box helicase 30,3,Syndromic,NA,1,1,Dhx30,ENSMUSG00000032480,219,ENSG00000132153
9,DIXDC1,DIX domain containing 1,11,"Rare Single Gene Mutation, Functional",4,0,4,Dixdc1,ENSMUSG00000032064,2136,ENSG00000150764
9,DYRK1A,Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,21,"Rare Single Gene Mutation, Syndromic",1,1,33,Dyrk1a,ENSMUSG00000022897,2292,ENSG00000157540
9,ADSL,adenylosuccinate lyase,22,"Rare Single Gene Mutation, Syndromic",NA,1,6,Adsl,ENSMUSG00000022407,495,ENSG00000239900
9,AHI1,Abelson helper integration site 1,6,"Rare Single Gene Mutation, Syndromic, Genetic Association",NA,1,18,Ahi1,ENSMUSG00000019986,3144,ENSG00000135541
9,ARHGAP32,Rho GTPase activating protein 32,11,"Rare Single Gene Mutation, Functional",4,0,4,Arhgap32,ENSMUSG00000041444,275,ENSG00000134909
9,ASMT,acetylserotonin O-methyltransferase,"X,Y","Rare Single Gene Mutation, Genetic Association",4,0,9,Asmt,ENSMUSG00000093806,1164,ENSG00000196433
9,ASTN2,astrotactin 2,9,"Rare Single Gene Mutation, Genetic Association",3,0,12,Astn2,ENSMUSG00000028373,3903,ENSG00000148219
9,BCKDK,Branched chain ketoacid dehydrogenase kinase,16,Rare Single Gene Mutation,2,0,3,Bckdk,ENSMUSG00000030802,1239,ENSG00000103507
9,CACNA1H,"calcium channel, voltage-dependent, alpha 1H subunit",16,Rare Single Gene Mutation,2,0,21,Cacna1h,ENSMUSG00000024112,7080,ENSG00000196557
9,CADM1,cell adhesion molecule 1,11,Rare Single Gene Mutation,4,0,9,Cadm1,ENSMUSG00000032076,1254,ENSG00000182985
9,CAMTA1,calmodulin binding transcription activator 1,1,Rare Single Gene Mutation,5,0,7,Camta1,ENSMUSG00000014592,717,ENSG00000171735
9,CD38,CD38 molecule,4,"Genetic Association, Functional",4,0,7,Cd38,ENSMUSG00000029084,915,ENSG00000004468
9,CDKL5,cyclin-dependent kinase-like 5,X,"Rare Single Gene Mutation, Syndromic",NA,1,31,Cdkl5,ENSMUSG00000031292,2883,ENSG00000008086
9,EXT1,Exostosin 1,8,"Rare Single Gene Mutation, Genetic Association",4,0,6,Ext1,ENSMUSG00000061731,2241,ENSG00000182197
9,ADCY5,Adenylate cyclase 5,3,Rare Single Gene Mutation,4,0,6,Adcy5,ENSMUSG00000022840,3789,ENSG00000173175
9,AFF2,"AF4/FMR2 family, member 2",X,"Rare Single Gene Mutation, Syndromic",4,0,14,Aff2,ENSMUSG00000031189,3819,ENSG00000155966
9,CREBBP,CREB binding protein,16,"Rare Single Gene Mutation, Syndromic, Genetic Association",5,0,21,Crebbp,ENSMUSG00000022521,7326,ENSG00000005339
9,CTNNA3,"catenin (cadherin-associated protein), alpha 3",10,"Rare Single Gene Mutation, Genetic Association",4,0,14,Ctnna3,ENSMUSG00000060843,2688,ENSG00000183230
9,DDX53,DEAD (Asp-Glu-Ala-Asp) box polypeptide 53,X,Rare Single Gene Mutation,4,0,3,NA,NA,NA,ENSG00000184735
9,DEPDC5,DEP domain containing 5,22,"Rare Single Gene Mutation, Syndromic",NA,1,8,Depdc5,ENSMUSG00000037426,4593,ENSG00000100150
9,DYNC1H1,dynein cytoplasmic 1 heavy chain 1,14,"Rare Single Gene Mutation, Syndromic",3,0,12,Dync1h1,ENSMUSG00000018707,13935,ENSG00000197102
9,EBF3,early B-cell factor 3,10,"Rare Single Gene Mutation, Syndromic",NA,1,7,Ebf3,ENSMUSG00000010476,1656,ENSG00000108001
9,EP300,E1A binding protein p300,22,"Rare Single Gene Mutation, Syndromic",4,1,16,Ep300,ENSMUSG00000055024,7239,ENSG00000100393
9,FABP3,"Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)",1,Functional,5,0,1,Fabp3,ENSMUSG00000028773,402,ENSG00000121769
9,FABP5,fatty acid binding protein 5 (psoriasis-associated),8,"Rare Single Gene Mutation, Functional",4,0,6,Fabp5,ENSMUSG00000027533,408,ENSG00000164687
9,FABP7,"fatty acid binding protein 7, brain",6,"Rare Single Gene Mutation, Genetic Association, Functional",6,0,7,Fabp7,ENSMUSG00000019874,399,ENSG00000164434
9,AFF4,"AF4/FMR2 family, member 4",5,"Rare Single Gene Mutation, Syndromic",6,0,7,Aff4,ENSMUSG00000049470,3483,ENSG00000072364
9,AGBL4,ATP/GTP binding protein-like 4,1,Rare Single Gene Mutation,4,0,3,Agbl4,ENSMUSG00000061298,1485,ENSG00000186094
9,ANKRD11,ankyrin repeat domain 11,16,"Rare Single Gene Mutation, Syndromic",2,1,36,Ankrd11,ENSMUSG00000035569,7995,ENSG00000167522
9,BRCA2,"breast cancer 2, early onset",13,Rare Single Gene Mutation,4,0,3,Brca2,ENSMUSG00000041147,9990,ENSG00000139618
9,BRD4,bromodomain containing 4,19,"Rare Single Gene Mutation, Syndromic",4,0,4,Brd4,ENSMUSG00000024002,4203,ENSG00000141867
9,BST1,bone marrow stromal cell antigen 1,4,"Genetic Association, Functional",4,0,5,Bst1,ENSMUSG00000029082,936,ENSG00000109743
9,BTAF1,"RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)",10,Rare Single Gene Mutation,3,0,5,Btaf1,ENSMUSG00000040565,5547,ENSG00000095564
9,C12orf57,Chromosome 12 open reading frame 57,12,"Rare Single Gene Mutation, Syndromic",NA,1,10,Grcc10,ENSMUSG00000072772,381,ENSG00000111678
9,CACNA1A,"Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",19,"Rare Single Gene Mutation, Genetic Association",NA,1,11,Cacna1a,ENSMUSG00000034656,6966,ENSG00000141837
9,CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",12,"Rare Single Gene Mutation, Syndromic, Genetic Association",NA,1,39,Cacna1c,ENSMUSG00000051331,6510,ENSG00000151067
9,CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",12,"Rare Single Gene Mutation, Syndromic, Genetic Association",NA,1,39,Cacna1c,ENSMUSG00000051331,6510,ENSG00000285479
9,CC2D1A,Coiled-coil and C2 domain containing 1A,19,"Rare Single Gene Mutation, Functional",3,0,9,Cc2d1a,ENSMUSG00000036686,2832,ENSG00000132024
9,CDH11,cadherin 11,16,Rare Single Gene Mutation,4,0,3,Cdh11,ENSMUSG00000031673,2391,ENSG00000140937
9,CMIP,c-Maf inducing protein,16,"Rare Single Gene Mutation, Genetic Association",4,0,6,Cmip,ENSMUSG00000034390,2322,ENSG00000153815
9,CYFIP1,cytoplasmic FMR1 interacting protein 1,15,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,15,Cyfip1,ENSMUSG00000030447,3756,ENSG00000273749
9,CYFIP1,cytoplasmic FMR1 interacting protein 1,15,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,15,Cyfip1,ENSMUSG00000030447,3756,ENSG00000280618
9,DEAF1,DEAF1 transcription factor,11,"Rare Single Gene Mutation, Syndromic",2,1,14,Deaf1,ENSMUSG00000058886,1701,ENSG00000282712
9,DEAF1,DEAF1 transcription factor,11,"Rare Single Gene Mutation, Syndromic",2,1,14,Deaf1,ENSMUSG00000058886,1701,ENSG00000177030
9,DMD,"dystrophin (muscular dystrophy, Duchenne and Becker types)",X,"Rare Single Gene Mutation, Syndromic, Genetic Association",NA,1,35,Dmd,ENSMUSG00000045103,11037,ENSG00000198947
9,DOCK10,Dedicator of cytokinesis 10,2,Rare Single Gene Mutation,5,0,1,Dock10,ENSMUSG00000038608,6528,ENSG00000135905
9,DPP6,dipeptidyl-peptidase 6,7,"Rare Single Gene Mutation, Genetic Association, Functional",4,0,23,Dpp6,ENSMUSG00000061576,2415,ENSG00000130226
9,DPP6,dipeptidyl-peptidase 6,7,"Rare Single Gene Mutation, Genetic Association, Functional",4,0,23,Dpp6,ENSMUSG00000061576,2415,ENSG00000282974
9,EHMT1,Euchromatic histone-lysine N-methyltransferase 1,9,"Rare Single Gene Mutation, Syndromic",3,1,20,Ehmt1,ENSMUSG00000036893,860,ENSG00000181090
9,APC,adenomatosis polyposis coli,5,"Rare Single Gene Mutation, Genetic Association, Functional",5,0,9,NA,NA,NA,ENSG00000134982
9,ARHGAP24,Rho GTPase activating protein 24,4,Rare Single Gene Mutation,5,0,1,Arhgap24,ENSMUSG00000057315,1965,ENSG00000138639
9,ARX,aristaless related homeobox,X,"Rare Single Gene Mutation, Syndromic",NA,1,15,Arx,ENSMUSG00000035277,1695,ENSG00000004848
9,ESR1,estrogen receptor 1,6,"Syndromic, Genetic Association",5,0,10,Esr1,ENSMUSG00000019768,1800,ENSG00000091831
9,ESR2,estrogen receptor 2 (ER beta),14,"Rare Single Gene Mutation, Syndromic, Genetic Association",4,0,8,Esr2,ENSMUSG00000021055,1593,ENSG00000140009
9,ASH1L,"Ash1 (absent, small, or homeotic)-like (Drosophila)",1,"Rare Single Gene Mutation, Syndromic",1,0,12,Ash1l,ENSMUSG00000028053,8877,ENSG00000116539
9,ASXL3,Additional sex combs like 3 (Drosophila),18,"Rare Single Gene Mutation, Syndromic",1,1,17,Asxl3,ENSMUSG00000045215,6615,ENSG00000141431
9,CACNB2,"Calcium channel, voltage-dependent, beta 2 subunit",10,"Rare Single Gene Mutation, Genetic Association",3,0,4,Cacnb2,ENSMUSG00000057914,1968,ENSG00000165995
9,CASK,calcium/calmodulin dependent serine protein kinase,X,"Rare Single Gene Mutation, Syndromic",4,0,12,Cask,ENSMUSG00000031012,745,ENSG00000147044
9,CHD1,chromodomain helicase DNA binding protein 1,5,Rare Single Gene Mutation,4,1,3,Chd1,ENSMUSG00000023852,494,ENSG00000153922
9,CHD2,Chromodomain helicase DNA binding protein 2,15,"Rare Single Gene Mutation, Syndromic",1,1,27,Chd2,ENSMUSG00000078671,5484,ENSG00000173575
9,CHD7,chromodomain helicase DNA binding protein 7,8,"Rare Single Gene Mutation, Syndromic",NA,1,22,Chd7,ENSMUSG00000041235,1894,ENSG00000171316
9,CHD8,chromodomain helicase DNA binding protein 8,14,Rare Single Gene Mutation,1,1,27,Chd8,ENSMUSG00000053754,7749,ENSG00000100888
9,ABAT,4-aminobutyrate aminotransferase,16,Genetic Association,4,0,4,Abat,ENSMUSG00000057880,1503,ENSG00000183044
9,ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10",17,Rare Single Gene Mutation,4,0,1,NA,NA,NA,ENSG00000154263
9,ABCA13,ATP binding cassette subfamily A member 13,7,"Rare Single Gene Mutation, Functional",4,0,5,Abca13,ENSMUSG00000004668,15105,ENSG00000179869
9,ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",19,Rare Single Gene Mutation,4,0,2,Abca7,ENSMUSG00000035722,6480,ENSG00000064687
9,ACE,angiotensin I converting enzyme,17,"Rare Single Gene Mutation, Genetic Association",4,0,2,Ace,ENSMUSG00000020681,3939,ENSG00000159640
9,ACHE,Acetylcholinesterase (Yt blood group),7,Rare Single Gene Mutation,3,0,4,Ache,ENSMUSG00000023328,1845,ENSG00000087085
9,ADA,adenosine deaminase,20,"Rare Single Gene Mutation, Genetic Association",3,0,6,Ada,ENSMUSG00000017697,1059,ENSG00000196839
9,ADARB1,"Adenosine deaminase, RNA-specific, B1",21,"Rare Single Gene Mutation, Functional",5,0,2,Adarb1,ENSMUSG00000020262,2136,ENSG00000197381
9,ADCY3,adenylate cyclase 3,2,Rare Single Gene Mutation,3,0,2,Adcy3,ENSMUSG00000020654,3438,ENSG00000138031
9,ADK,adenosine kinase,10,Rare Single Gene Mutation,4,0,2,Adk,ENSMUSG00000039197,1086,ENSG00000156110
9,CHRNA7,"cholinergic receptor, nicotinic, alpha 7",15,Rare Single Gene Mutation,3,0,13,Chrna7,ENSMUSG00000030525,1509,ENSG00000175344
9,CNKSR2,connector enhancer of kinase suppressor of Ras 2,X,Syndromic,3,1,3,Cnksr2,ENSMUSG00000025658,3099,ENSG00000149970
9,CNR1,cannabinoid receptor 1 (brain),6,"Rare Single Gene Mutation, Genetic Association",3,0,7,Cnr1,ENSMUSG00000044288,1422,ENSG00000118432
9,DDX3X,"DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked",X,"Rare Single Gene Mutation, Syndromic",2,1,12,Ddx3x,ENSMUSG00000000787,1989,ENSG00000215301
9,DHCR7,7-dehydrocholesterol reductase,11,"Rare Single Gene Mutation, Syndromic",NA,1,15,Dhcr7,ENSMUSG00000058454,1416,ENSG00000172893
9,DRD3,dopamine receptor D3,3,"Rare Single Gene Mutation, Genetic Association",4,0,8,Drd3,ENSMUSG00000022705,1341,ENSG00000151577
9,ELP4,Elongator acetyltransferase complex subunit 4,11,"Rare Single Gene Mutation, Genetic Association",3,0,5,Elp4,ENSMUSG00000027167,1269,ENSG00000109911
9,ADORA3,Adenosine A3 receptor,1,"Rare Single Gene Mutation, Functional",4,0,2,Adora3,ENSMUSG00000000562,960,ENSG00000282608
9,ADRB2,"adrenergic, beta-2-, receptor, surface",5,Genetic Association,4,0,10,Adrb2,ENSMUSG00000045730,1257,ENSG00000169252
9,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",2,Rare Single Gene Mutation,4,0,8,Agap1,ENSMUSG00000055013,2013,ENSG00000157985
9,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",12,Rare Single Gene Mutation,3,0,3,Agap2,ENSMUSG00000025422,3561,ENSG00000135439
9,AGMO,alkylglycerol monooxygenase,7,"Rare Single Gene Mutation, Genetic Association",4,0,5,Agmo,ENSMUSG00000050103,1308,ENSG00000187546
9,AGO1,"argonaute 1, RISC catalytic component",1,Rare Single Gene Mutation,4,0,2,Ago1,ENSMUSG00000041530,2574,ENSG00000092847
9,AGTR2,"angiotensin II receptor, type 2",X,Rare Single Gene Mutation,4,0,3,Agtr2,ENSMUSG00000068122,1092,ENSG00000180772
9,AHDC1,AT-hook DNA binding motif containing 1,1,"Rare Single Gene Mutation, Syndromic",3,1,9,Ahdc1,ENSMUSG00000037692,4785,ENSG00000126705
9,AKAP9,A kinase (PRKA) anchor protein 9,7,Rare Single Gene Mutation,3,0,4,Akap9,ENSMUSG00000040407,11340,ENSG00000127914
9,ALOX5AP,arachidonate 5-lipoxygenase-activating protein,3,Functional,5,0,4,Alox5ap,ENSMUSG00000060063,486,ENSG00000132965
9,AMBRA1,autophagy and beclin 1 regulator 1,11,Functional,5,0,3,Ambra1,ENSMUSG00000040506,3543,ENSG00000110497
9,AUTS2,autism susceptibility candidate 2,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,32,Auts2,ENSMUSG00000029673,309,ENSG00000158321
9,BBS4,Bardet-Biedl syndrome 4,15,"Rare Single Gene Mutation, Syndromic",4,0,3,Bbs4,ENSMUSG00000025235,1563,ENSG00000140463
9,BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),2,"Rare Single Gene Mutation, Syndromic",2,1,16,Bcl11a,ENSMUSG00000000861,576,ENSG00000119866
9,BRAF,v-raf murine sarcoma viral oncogene homolog B,7,"Rare Single Gene Mutation, Syndromic",NA,1,7,Braf,ENSMUSG00000002413,2415,ENSG00000157764
9,CIC,capicua transcriptional repressor,19,"Rare Single Gene Mutation, Functional",2,1,4,Cic,ENSMUSG00000005442,451,ENSG00000079432
9,CNTNAP2,contactin associated protein-like 2,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,1,59,Cntnap2,ENSMUSG00000039419,3999,ENSG00000278728
9,CNTNAP2,contactin associated protein-like 2,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,1,59,Cntnap2,ENSMUSG00000039419,3999,ENSG00000174469
9,CNTNAP4,Contactin associated protein-like 4,16,"Rare Single Gene Mutation, Functional",3,0,11,Cntnap4,ENSMUSG00000031772,3933,ENSG00000152910
9,AMPD1,Adenosine monophosphate deaminase 1,1,"Rare Single Gene Mutation, Genetic Association",3,0,3,Ampd1,ENSMUSG00000070385,1387,ENSG00000116748
9,AMT,Aminomethyltransferase,3,Rare Single Gene Mutation,3,0,1,Amt,ENSMUSG00000032607,1212,ENSG00000145020
9,ANK2,"Ankyrin 2, neuronal",4,Rare Single Gene Mutation,1,0,12,Ank2,ENSMUSG00000032826,11703,ENSG00000145362
9,ANXA1,Annexin A1,9,Rare Single Gene Mutation,3,0,2,Anxa1,ENSMUSG00000024659,1041,ENSG00000135046
9,APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2",15,Rare Single Gene Mutation,4,0,6,Apba2,ENSMUSG00000030519,2253,ENSG00000276495
9,APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2",15,Rare Single Gene Mutation,4,0,6,Apba2,ENSMUSG00000030519,2253,ENSG00000034053
9,APBB1,amyloid beta precursor protein binding family B member 1,11,"Rare Single Gene Mutation, Functional",3,0,3,Apbb1,ENSMUSG00000037032,1356,ENSG00000166313
9,APH1A,APH1A gamma secretase subunit,1,Rare Single Gene Mutation,3,0,2,Aph1a,ENSMUSG00000015750,744,ENSG00000117362
9,APP,Amyloid beta (A4) precursor protein,21,Functional,5,0,3,App,ENSMUSG00000022892,2088,ENSG00000142192
9,AR,androgen receptor,X,Genetic Association,4,0,6,Ar,ENSMUSG00000046532,2700,ENSG00000169083
9,ARHGAP15,Rho GTPase activating protein 15,2,Rare Single Gene Mutation,6,0,7,Arhgap15,ENSMUSG00000049744,1446,ENSG00000075884
9,ARHGAP33,Rho GTPase activating protein 33,19,"Rare Single Gene Mutation, Functional",5,0,2,Arhgap33,ENSMUSG00000036882,3918,ENSG00000004777
9,ARHGAP5,Rho GTPase activating protein 5,14,Rare Single Gene Mutation,4,0,3,Arhgap5,ENSMUSG00000035133,4512,ENSG00000100852
9,ARHGEF10,Rho guanine nucleotide exchange factor 10,8,"Rare Single Gene Mutation, Functional",4,0,3,Arhgef10,ENSMUSG00000071176,2967,ENSG00000104728
9,ARHGEF10,Rho guanine nucleotide exchange factor 10,8,"Rare Single Gene Mutation, Functional",4,0,3,Arhgef10,ENSMUSG00000071176,2967,ENSG00000274726
9,ASPM,abnormal spindle microtubule assembly,1,"Rare Single Gene Mutation, Syndromic",3,0,5,Aspm,ENSMUSG00000033952,9369,ENSG00000066279
9,CNTNAP5,contactin associated protein-like 5,2,"Rare Single Gene Mutation, Genetic Association",4,0,11,NA,NA,NA,ENSG00000155052
9,EXOC6B,exocyst complex component 6B,2,Rare Single Gene Mutation,4,0,3,Exoc6b,ENSMUSG00000033769,2433,ENSG00000144036
9,ASS1,argininosuccinate synthetase,9,Functional,5,0,3,Ass1,ENSMUSG00000076441,1239,ENSG00000130707
9,ATG7,Autophagy related 7,3,Functional,5,0,2,Atg7,ENSMUSG00000030314,666,ENSG00000197548
9,ATP10A,Probable phospholipid-transporting ATPase VA,15,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,7,Atp10a,ENSMUSG00000025324,4527,ENSG00000206190
9,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",3,"Rare Single Gene Mutation, Genetic Association",3,0,9,Atp2b2,ENSMUSG00000030302,3597,ENSG00000157087
9,ATP6V0A2,ATPase H+ transporting V0 subunit a2,12,Rare Single Gene Mutation,4,0,2,Atp6v0a2,ENSMUSG00000038023,2571,ENSG00000185344
